OBJECTID,road_dist_mean
4889,362.16544748014974
4939,254.6410636251852
4966,238.88886611461825
6728,879.3661244587629
6849,185.12356057256403
6857,986.2387824144391
6954,213.74936762967286
6964,345.2324959914484
2228,146.5001266633198
3817,33.39547246779501
3823,33.09700505222969
3918,1376.2502592133865
4413,223.3234710078672
4423,601.7825181840852
4582,414.6285944805252
5331,788.9429412122693
5591,322.17181429094603
5607,276.7357200747158
5862,157.51731807649023
8508,577.4234181575711
11026,339.06016834908826
11275,85.24899481983128
11643,172.26367827185874
13717,61.253179060414276
13720,68.55092707681963
15729,905.8964157981203
16129,232.5741363124822
16224,1202.6736327030067
18756,129.50444829921616
19346,184.92994473909417
19910,415.71632175724517
20098,670.7904278471641
20244,361.6324730989625
20994,410.1161040661905
21071,263.0111547118997
21150,632.0798156587327
21661,132.97506481239702
22050,112.297864740833
22078,221.91182536580718
22146,142.46624642063236
22203,1442.12997797428
22305,585.9342979407184
22319,436.8576943189993
22434,370.59045471264494
6933,61.85156385529262
8028,77.31821064451597
646,352.2111794095331
1360,477.12325911492167
2691,340.8726696668748
2764,519.75727926802
2927,248.56374327820507
4820,298.31114653626975
6280,1112.0554296997864
6283,752.3115725907799
6367,220.2904400876252
6991,1483.2887671806545
7047,431.3225480704655
7551,1919.4102156986346
7868,2563.555336136257
7902,622.2366204163895
7987,1049.9145102810382
8527,333.64923961864326
8618,722.7744477996689
8801,126.30614525866818
9886,767.1904316132902
11039,510.62692516802144
11413,464.8678328588421
11571,354.9898381941053
11615,1779.5830025548237
13830,111.38935426429256
15386,203.8869785370612
16107,411.2098830494174
16223,97.45979768419922
16368,205.11232169240947
17047,152.26057163504606
17211,531.0539081969292
17592,132.58496563246592
17756,106.81308487041758
18022,81.74686042174747
18089,479.27097681790906
18127,201.3769430222823
18164,586.5814100434225
18175,548.9971886739554
18203,69.4263522736856
18277,1438.5877450783453
18461,3594.0902724227685
19274,770.7349059335277
19275,852.9841757989475
19534,239.43010641449172
19769,303.5573406433706
20081,264.60304339437573
20123,3757.087234982477
20146,439.8882106623656
20489,304.5553015642146
20567,204.2175870553075
20615,451.4642243856948
20716,232.95488344178105
20819,500.7160024374421
20830,432.0502744776294
20869,485.76988335591153
21081,564.8027642868291
21134,130.8714187832678
21144,154.47346914765248
21173,140.93227528994436
21217,238.70829104309632
21222,58.18293655245262
21261,153.5021870754388
21262,133.6706807020323
21267,109.36680609480334
21399,579.8844533901935
21875,136.19713140811447
21892,246.78873698796917
21894,489.08913569587554
21901,73.41842138882748
22107,151.45687472305065
22168,386.77144351409225
22233,314.11873875116044
22262,480.3768541284856
22463,177.29170804907685
22799,194.82516793443293
22814,185.18846760214373
22942,2988.597850073811
23102,239.18522945971492
23109,179.46121603223077
23121,258.6329775671498
23132,897.8085063926845
23135,102.46019927856464
23142,240.57081402231503
23144,132.3874941183295
23149,255.14530409664474
23155,344.6722767506822
23185,999.647606665725
23209,661.7169122566972
23211,187.12424043077272
23213,272.0456719676887
