OBJECTID,invasive_dist_mean
6212,6363.83260512281
6347,3438.324997963183
6466,8329.556165650558
6476,10080.186699896885
6485,1469.4990098899707
6508,4666.823979544234
6514,6676.092215090909
6519,1341.0824757625478
6522,7371.5007311732
6537,698.8864676046567
6585,4630.445051962365
6596,857.5821873263404
6631,3704.446398342843
6633,2930.7823646502043
6851,9275.481384893532
6902,9862.400007083774
6907,4330.454935296898
6928,4083.634873825204
6930,3559.639097209345
6949,10916.117529343579
6968,2637.1027470477757
6988,2185.9906687593475
7247,537.0427617257758
7687,2365.073876456704
7827,1485.6769895634422
8137,8881.044380975942
8156,1871.5015041351685
8184,2220.9582691893665
8315,813.4146483986359
8337,3768.1250399171327
8415,1181.0293356970478
8510,7255.273315445489
8525,3203.562671703359
8536,2251.3657467899693
8568,7263.445362762743
8601,1500.9338776933694
8758,1926.0569876935633
8790,1028.9616844999598
11488,14671.074599192954
11683,8648.06075502533
11686,9630.474655780647
11716,8354.208605171934
11804,2751.337184623049
11889,1136.5461610920836
12032,5024.685117386297
12222,5277.971753296471
12396,15494.096627516023
12564,6944.728293061025
12598,9176.797990370958
12906,1052.6933334003236
12942,3244.831969134311
13178,1518.7054941237475
14536,1363.7251621432645
14826,10501.064792845391
14840,1411.5572000489997
15007,2644.005746052685
15562,1193.7256004809678
15584,1386.824744351056
15624,1282.5989820326456
15691,15035.912285592503
15906,5276.300381632705
15982,3662.2496315853973
15983,2053.583020778319
15998,434.1319567327214
16014,7276.5984888422045
16266,2116.850498754459
16523,2292.2558500489517
16820,4292.239622268895
17107,1568.9105272022919
17342,1854.8878336845905
17678,13229.864268398074
17724,765.8659812006296
17761,3722.542447787721
17982,3004.106072949315
4325,11772.884296073531
4417,2640.1883212344906
4459,3303.955404328432
4487,8784.334360114386
87,8633.193513199447
105,498.19826387059055
150,3942.2697026343044
282,3576.771764734745
603,8437.704638191066
633,3210.949731168066
938,2110.340393270512
1215,909.3273981748706
1268,11452.151471033394
1280,5461.263232280123
1803,2742.957628931818
1826,2557.0621786088673
1900,10771.767832645612
2934,9594.388624601608
3033,10326.11329788864
3076,4662.521181555632
3096,7644.5505510940875
3176,12086.544425507067
4889,1191.6434109672543
4939,14167.797338768107
4966,4976.798992635169
6728,4440.8727423555065
6849,11124.430324705652
6857,2380.80129272668
6954,4522.022705227772
6964,5226.71558852338
2228,19614.61063208085
3817,23780.832990585892
3823,21743.02548057905
3918,5961.865449341006
4413,13437.82208644223
4423,7925.244429196453
4582,18803.870002343574
5331,25454.64599867619
5591,10469.964710326449
5607,20228.682939709754
5862,4785.515582643549
8508,23688.760204867136
11026,13628.08652045759
11275,18917.16321445076
11643,17430.13461155103
13717,3946.7084386931715
13720,3957.841480342357
15729,24368.534351475188
16129,4449.402091250396
16224,6014.885713148759
18756,15787.953228298187
19346,16440.47583632977
19910,10272.88060180394
20098,6080.153636746531
20244,12540.916014556007
20994,13205.914077208878
21071,22545.13808227228
21150,3111.054092436711
21661,2592.995175931584
22050,36231.31176069206
22078,20143.954332087327
22146,21901.207319270427
22203,6676.339520618486
22305,2573.90349048308
22319,3764.648002939451
22434,4506.718790561794
6933,27757.90131573701
8028,12145.949464045905
646,10255.485681220747
1360,7784.285913136046
2691,11322.440532626126
2764,17145.437415462296
2927,24212.42666070376
4820,18931.104903941527
6280,21422.725824147496
6283,21854.14983142097
6367,12080.72059703174
6991,10284.822670893693
7047,3946.132733872176
7551,19156.27437603093
7868,4231.397559470138
7902,9882.860596264334
7987,7700.609654143776
8527,24804.369129515824
8618,25865.515388978252
8801,12387.792537029241
9886,20323.34574526195
11039,5768.980752971899
11413,17088.246626091914
11571,16704.61845477631
11615,18036.24487898906
13830,21870.760796398234
15386,23861.8443793626
16107,9798.064521597673
16223,10948.216512508425
16368,12894.995408016986
17047,16278.25315551865
17211,4477.1983125531215
17592,11169.803857839028
17756,12845.873022369788
18022,11688.83014889486
18089,16627.84977465713
18127,11721.187845525159
18164,11853.10950229346
18175,10853.26006312428
18203,14127.426169706223
18277,23050.65366654553
18461,17629.203945458517
19274,5463.299244739883
19275,5463.368853110592
19534,11394.57970478751
19769,21596.400887185715
20081,2746.638983679972
20123,17369.769362590414
20146,9592.44438107887
20489,5447.677460894463
20567,6074.4968698308885
20615,6442.63256254465
20716,24260.534044194996
20819,13869.713237651082
20830,15141.804779878064
20869,11811.778778310882
21081,9209.939619837423
21134,17881.0029260031
21144,1248.6103138220444
21173,17577.78797316059
21217,10644.180490278612
21222,11326.327466387189
21261,5633.3072933586955
21262,5720.150189826728
21267,4854.136273785003
21399,15779.529424112263
21875,9923.673818050403
21892,25167.719049281965
21894,13180.377429911729
21901,17842.61346476045
22107,13413.574052052454
22168,3396.5079606500044
22233,15117.481017527585
22262,16636.48174567301
22463,7427.42461522334
22799,5855.4796643328355
22814,16497.652527424973
22942,16776.062016948163
23102,13782.779981324536
23109,21723.54632065781
23121,14576.743251951368
23132,11461.410383066774
23135,1868.2494760180937
23142,23721.260146198147
23144,18940.492841586536
23149,13180.90323600025
23155,12285.02910764113
23185,2245.969168372803
23209,5150.276030554132
23211,22358.226831912983
23213,13264.618620860665
